AAAAMM;RR;TX; TN;TM
196401;37.2;9.0;1.4;5.2
196402;131.8;12.0;5.3;8.6
196403;158.0;13.0;5.3;9.1
196404;16.0;18.1;8.8;13.4
196405;77.4;23.8;13.2;18.5
196406;23.8;27.0;16.7;21.9
196407;16.6;30.4;18.7;24.6
196408;58.7;27.4;16.7;22.1
196409;85.8;24.4;15.6;20.0
196410;121.3;17.3;8.8;13.0
196411;70.6;14.1;6.2;10.1
196412;29.6;9.0;2.9;5.9
196501;88.4;10.0;3.2;6.6
196502;35.6;8.4;0.9;4.7
196503;56.6;14.4;5.3;9.8
196504;1.6;18.2;7.9;13.0
196505;13.2;23.2;11.9;17.5
196506;12.8;26.5;15.2;20.9
196507;40.8;27.4;16.8;22.1
196508;53.3;27.3;16.6;22.0
196509;114.6;22.0;12.7;17.4
196510;123.1;20.0;12.1;16.1
196511;33.5;13.9;6.2;10.0
196512;61.3;11.7;4.8;8.3
196601;37.8;9.1;2.2;5.7
196602;108.3;13.8;7.0;10.4
196603;2.7;14.9;5.3;10.1
196604;80.4;18.5;9.7;14.1
196605;58.9;22.6;12.6;17.6
196606;19.9;26.3;15.6;20.9
196607;50.5;26.9;15.9;21.4
196608;44.4;27.1;16.2;21.7
196609;45.0;26.5;15.7;21.1
196610;106.9;20.4;12.8;16.6
196611;72.7;11.6;4.2;7.9
196612;10.1;11.7;4.4;8.0
196701;29.0;9.4;2.9;6.1
196702;54.2;12.0;4.3;8.1
196703;8.2;15.8;7.4;11.6
196704;19.7;18.9;8.4;13.6
196705;16.9;21.5;11.4;16.5
196706;6.4;25.2;14.3;19.8
196707;0.3;30.6;19.3;25.0
196708;12.7;28.9;18.2;23.5
196709;23.6;24.2;14.7;19.4
196710;25.2;22.2;12.9;17.5
196711;76.8;15.2;7.4;11.3
196712;1.9;9.0;1.1;5.0
196801;1.3;10.8;1.3;6.1
196802;97.7;11.8;4.8;8.3
196803;2.0;15.4;5.5;10.4
196804;75.2;18.5;8.8;13.7
196805;99.7;21.0;11.7;16.3
196806;53.6;25.7;14.7;20.2
196807;1.9;28.1;17.4;22.7
196808;49.0;26.5;16.1;21.3
196809;104.0;23.5;14.0;18.8
196810;36.0;21.8;12.5;17.2
196811;97.1;13.4;6.9;10.2
196812;39.0;9.4;3.4;6.4
196901;91.0;11.3;3.7;7.5
196902;86.3;9.9;1.1;5.5
196903;71.3;13.5;6.4;9.9
196904;40.7;17.6;8.3;13.0
196905;31.8;21.4;11.7;16.6
196906;52.8;23.3;13.7;18.5
196907;47.3;28.7;17.7;23.2
196908;24.1;27.6;17.5;22.5
196909;116.9;23.8;14.8;19.3
196910;181.4;21.1;12.1;16.6
196911;55.2;14.3;6.2;10.2
196912;75.9;7.0;0.1;3.6
197001;107.2;10.9;4.7;7.8
197002;4.5;12.1;4.3;8.2
197003;39.6;11.9;3.7;7.8
197004;51.9;17.1;6.6;11.9
197005;49.3;21.2;11.4;16.3
197006;19.2;27.1;17.2;22.1
197007;0.4;29.2;17.6;23.4
197008;45.1;28.1;17.3;22.7
197009;15.7;26.5;15.8;21.1
197010;113.4;19.7;10.9;15.3
197011;46.2;16.2;7.7;11.9
197012;73.2;8.9;1.9;5.4
197101;129.3;8.9;1.7;5.3
197102;2.0;11.8;3.2;7.5
197103;107.0;11.4;2.3;6.8
197104;151.2;18.8;10.1;14.4
197105;95.0;21.7;12.7;17.2
197106;78.9;25.1;14.4;19.7
197107;29.1;30.0;18.0;24.0
197108;11.0;29.6;18.4;24.0
197109;52.4;25.1;15.0;20.0
197110;34.1;21.2;11.6;16.4
197111;64.3;12.0;4.4;8.2
197112;48.8;11.6;4.5;8.0
197201;163.3;9.8;4.0;6.9
197202;214.8;12.7;5.8;9.3
197203;89.3;15.8;6.5;11.2
197204;50.0;17.1;8.3;12.7
197205;64.1;21.3;10.8;16.0
197206;106.3;23.9;14.1;19.0
197207;12.1;29.1;17.4;23.2
197208;68.9;25.7;15.9;20.8
197209;42.1;21.9;12.5;17.2
197210;109.8;19.1;10.3;14.7
197211;42.1;14.8;7.3;11.1
197212;91.5;11.1;4.2;7.7
197301;58.8;9.8;2.2;6.0
197302;43.9;10.3;2.6;6.5
197303;53.1;14.5;4.1;9.3
197304;21.3;16.4;6.2;11.3
197305;9.1;22.5;12.2;17.4
197306;72.6;26.4;16.0;21.2
197307;40.5;29.2;17.9;23.6
197308;27.4;30.5;18.6;24.5
197309;20.6;26.3;15.3;20.8
197310;286.7;19.0;9.4;14.2
197311;34.8;14.4;6.9;10.7
197312;87.1;10.7;3.2;7.0
197401;89.9;12.4;5.5;9.0
197402;162.3;11.4;4.8;8.1
197403;118.2;13.6;6.5;10.1
197404;105.9;16.5;7.9;12.2
197405;70.3;21.8;11.4;16.6
197406;29.2;25.4;15.0;20.2
197407;24.0;28.9;17.5;23.2
197408;60.7;29.0;17.5;23.2
197409;92.0;22.6;13.7;18.1
197410;13.7;15.4;6.2;10.8
197411;35.9;14.0;6.7;10.3
197412;0.6;13.3;5.5;9.4
197501;30.6;12.3;5.0;8.6
197502;75.4;12.8;4.5;8.7
197503;111.6;12.7;4.6;8.7
197504;19.9;18.1;7.6;12.8
197505;112.6;20.9;11.3;16.1
197506;18.3;25.1;14.8;20.0
197507;12.9;29.5;17.7;23.6
197508;73.1;28.7;18.4;23.6
197509;115.1;24.4;15.2;19.8
197510;17.4;18.9;9.0;14.0
197511;51.3;13.4;6.4;9.9
197512;111.7;8.6;2.9;5.7
197601;41.6;11.5;3.5;7.5
197602;82.9;12.6;4.8;8.7
197603;48.1;15.0;5.1;10.1
197604;105.6;16.2;7.6;11.9
197605;51.3;23.5;12.3;17.9
197606;0.4;28.8;16.7;22.7
197607;19.4;29.9;18.7;24.3
197608;83.3;27.7;17.0;22.4
197609;115.7;22.1;13.2;17.7
197610;371.6;17.8;10.1;13.9
197611;66.0;12.8;5.7;9.2
197612;84.5;10.1;3.9;7.0
197701;71.8;9.6;3.7;6.7
197702;31.3;14.0;5.7;9.8
197703;71.5;15.9;6.7;11.3
197704;26.8;17.7;7.8;12.8
197705;165.4;19.7;11.2;15.4
197706;59.0;23.9;14.0;19.0
197707;71.2;27.0;16.5;21.8
197708;30.4;25.9;15.9;20.9
197709;33.0;24.3;13.4;18.9
197710;326.7;20.3;12.2;16.2
197711;83.7;14.4;6.2;10.3
197712;85.7;11.2;4.6;7.9
197801;137.5;9.1;2.5;5.8
197802;106.3;10.7;3.3;7.0
197803;34.3;15.4;6.6;11.0
197804;94.1;15.6;6.9;11.3
197805;119.3;20.3;10.7;15.5
197806;16.7;24.7;14.0;19.3
197807;17.5;27.9;16.4;22.2
197808;56.2;27.8;16.3;22.1
197809;13.0;26.3;15.2;20.8
197810;12.7;20.2;10.1;15.2
197811;1.3;14.6;5.2;9.9
197812;144.2;11.7;4.6;8.1
197901;122.4;8.2;1.6;4.9
197902;39.2;11.7;4.3;8.0
197903;57.1;15.5;6.7;11.1
197904;21.7;16.9;7.2;12.0
197905;41.0;21.7;11.3;16.5
197906;3.3;27.0;16.6;21.8
197907;17.2;29.9;18.6;24.3
197908;7.9;28.0;16.8;22.4
197909;39.3;24.8;14.6;19.7
197910;359.3;18.9;12.3;15.6
197911;8.2;14.1;5.5;9.8
197912;48.7;11.4;3.9;7.7
198001;38.3;8.7;2.8;5.8
198002;10.6;13.7;6.2;10.0
198003;71.3;14.0;5.5;9.8
198004;73.2;16.4;7.4;11.9
198005;91.1;20.2;10.8;15.5
198006;16.4;24.9;14.5;19.7
198007;14.7;26.8;15.9;21.4
198008;48.0;29.4;18.6;24.0
198009;11.7;26.4;15.7;21.0
198010;26.8;19.2;10.2;14.7
198011;66.8;12.2;5.6;8.9
198012;19.7;8.7;0.7;4.7
198101;41.8;10.3;1.9;6.1
198102;28.7;10.6;1.6;6.1
198103;89.0;15.5;7.7;11.6
198104;25.8;18.9;8.9;13.9
198105;100.7;20.4;10.6;15.5
198106;47.0;26.6;15.5;21.0
198107;8.1;27.7;16.9;22.3
198108;6.1;30.0;18.0;24.0
198109;90.3;25.4;15.8;20.6
198110;60.1;20.0;10.5;15.2
198111;1.1;14.0;5.7;9.8
198112;132.3;10.8;4.4;7.6
198201;14.1;12.7;5.5;9.1
198202;39.4;12.2;4.8;8.5
198203;24.5;14.2;5.1;9.7
198204;28.9;18.8;8.2;13.5
198205;4.9;23.4;12.1;17.7
198206;64.0;27.6;17.1;22.3
198207;82.1;31.7;20.2;25.9
198208;25.5;28.2;17.7;22.9
198209;62.3;26.4;16.6;21.5
198210;64.2;19.5;10.6;15.1
198211;165.0;15.0;8.3;11.6
198212;35.4;10.9;4.3;7.6
198301;0.0;13.2;4.5;8.8
198302;53.1;9.1;1.2;5.1
198303;90.8;15.4;6.4;10.9
